"","BIOCHEMICAL","SUPER_PATHWAY","SUB_PATHWAY","moduleColor","GS.GDAT_BW","p.GS.GDAT_BW","GS.TG_nmol_gWW","p.GS.TG_nmol_gWW","GS.TG_nmol_gWW.1","p.GS.glucose_norm","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.yellow","p.MM.yellow","MM.red","p.MM.red","MM.pink","p.MM.pink","MM.grey","p.MM.grey","MM.green","p.MM.green"
"234","adrenate (22:4n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",0.294768245058541,0.0493403057558152,0.228262479064257,0.131520798059147,0.154734925496559,0.31014723486036,0.51374692389496,0.00030679826699234,-0.520293697629789,0.000248773135685676,0.502779570622183,0.00043184287214762,0.903622968384451,1.95421285332375e-17,-0.294737788557367,0.0493648900089501,-0.141326268442114,0.354432122750515,-0.540055068620789,0.000128664443036833,0.11491275049521,0.452254763896819,0.333073211986538,0.0253705676015855
"235","anthranilate","Amino Acid","Tryptophan Metabolism","brown",-0.176221426897038,0.246883126373531,-0.16072862641639,0.291546030473472,-0.0737490163329761,0.630190756809943,-0.345836795463681,0.019966696200914,0.301455609741706,0.0441773701953076,-0.143410329198246,0.347307659618994,-0.419046250047371,0.00416869415924224,0.128327978357175,0.400848222474338,0.239492763838242,0.113076824356724,0.375016815073421,0.011139686127513,0.367792901850734,0.012933014408403,-0.0677425476808722,0.658379509763578
"236","arachidate (20:0)","Lipid","Long Chain Saturated Fatty Acid","brown",0.0365471271313102,0.811612640071299,-0.119946045808091,0.432559170445206,-0.0474075637471714,0.757135618672982,0.126145397864902,0.408972902539575,-0.184343011546137,0.225422839627374,0.362976548203127,0.0142609022628621,0.773532522778923,4.68389234499038e-10,0.136364378866493,0.371749550833415,-0.155868081607703,0.306573856668805,-0.362362079164129,0.0144383763289626,0.0920023410738721,0.547786548068735,0.173721221319909,0.253758570520429
"237","arachidonate (20:4n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",0.348306227661043,0.0190419500896856,0.209454955843397,0.167309557986804,0.188867874471088,0.214040877364505,0.540064792832352,0.000128621400214574,-0.420083311201158,0.00406681274820085,0.33454387471483,0.0246915719183911,0.88551438329487,6.57283779308385e-16,-0.210605828958503,0.164935373948506,-0.284841742768791,0.0578936409207614,-0.372203851798008,0.0118109089286563,0.127757018554515,0.402964540779803,0.214303836980018,0.157472301215421
"238","arginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","brown",-0.068143328563476,0.656483403318821,-0.0994209388508455,0.515833598777212,-0.092272406538971,0.546607000629434,-0.0434455643290932,0.776889943055137,0.0358878070822051,0.814951204036789,-0.0331309573439605,0.828945412502367,0.396611395042025,0.00699059523572668,-0.0289211574291186,0.850415014906918,0.00809601022324148,0.95790542684379,-0.131111453053959,0.390623609708317,-0.0489321805079095,0.749573793702359,0.069514172282346,0.650014079150674
"239","aspartate","Amino Acid","Alanine and Aspartate Metabolism","brown",-0.0348776607654211,0.820072502428304,0.0358362600005264,0.815212357743499,-0.0149740628289858,0.922227843346244,0.201135868782074,0.185211398186074,-0.0274424035383893,0.857982823878804,0.30614242577503,0.0408280323392601,0.597312880318737,1.47973883701744e-05,0.189098912262865,0.213470652595795,-0.186255204463351,0.220563039559881,0.0121126246446489,0.937056257959843,0.497304701295744,0.000510029918146174,0.0711552270677874,0.642302937989347
"240","biopterin","Cofactors and Vitamins","Tetrahydrobiopterin Metabolism","brown",-0.176667800655053,0.24566899314997,-0.101720281007529,0.506123067898405,-0.206404993694024,0.173721046978974,-0.160919177515014,0.290966788962243,0.156996110242643,0.30304289155738,0.0241754622952646,0.874745789597203,0.380755738306995,0.00987103755503756,0.29555169562993,0.0487113081761264,-0.0540198195705967,0.724511189530595,0.0423479936645657,0.782387672191915,0.428733415986153,0.00329850114942709,0.0549935677364813,0.719745722534045
"241","branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*","Partially Characterized Molecules","Partially Characterized Molecules","brown",-0.105111970908678,0.491970644140986,-0.0204352394525566,0.894003569827377,0.0179317034702064,0.906928310299971,-0.0851675854943356,0.578035341083131,0.0140875353315376,0.926819412807096,0.367146587338909,0.0131048350726806,0.408552094489336,0.0053319960763757,0.101999299729519,0.504951067938423,-0.093758233387908,0.540139242468099,-0.121695557237426,0.425827173902101,0.0863069537159776,0.572940553453631,0.163242288708698,0.283965007571968
"242","caprate (10:0)","Lipid","Medium Chain Fatty Acid","brown",0.0873364633086699,0.568354765222659,0.0762488919850951,0.618607124482224,0.230548315691832,0.127595418889728,0.213399874516227,0.159273398377955,-0.299451264567137,0.0456764193092753,0.609778518189149,8.73210315573964e-06,0.757293538919568,1.73741407132767e-09,-0.0745129401420862,0.626641490725821,0.159578914324691,0.295056805443726,-0.418848671836288,0.0041883555431733,0.164536616302098,0.280112085145243,0.442517880292854,0.00233594362167651
"243","caprylate (8:0)","Lipid","Medium Chain Fatty Acid","brown",-0.0071815334873326,0.962656613324852,0.0319138511542441,0.835140610330463,0.167564005261476,0.271234601399973,-0.0848652917148017,0.579390517102571,-0.300009209415103,0.0452550404155936,0.447698540697593,0.0020442165323124,0.349235482695557,0.0187034461619831,-0.182277154704114,0.2307555008626,0.220960698119887,0.144665031216443,-0.419128191028338,0.0041605637734249,-0.0371177171535448,0.808726036201502,0.587062454641528,2.24642127764763e-05
